2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t25348/337/1914970209/87008/3a4ad116/5bbf0ecbN8d5f1ec0.jpg', 'book_name': '创业时代', 'book_author': ['付遥'], 'book_press': '中信出版社', 'book_publish_date': '2015-07', 'book_sku': '11722424', 'book_price': '29.90'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t16063/197/2361698095/299185/2740ab8a/5aaa28edN2e802000.jpg', 'book_name': '跨越', 'book_author': ['Lydia'], 'book_press': '人民文学出版社', 'book_publish_date': '2018-04', 'book_sku': '12316615', 'book_price': '28.50'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t2251/152/1142962063/232955/371b0df1/567a5662N55277aa4.jpg', 'book_name': '孤鹰', 'book_author': ['邵雪城'], 'book_press': '湖南文艺', 'book_publish_date': '2015-10', 'book_sku': '10090371579', 'book_price': '23.10'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t23701/212/992601878/651732/1a2b8920/5b4c65b0Nd1dc33ad.jpg', 'book_name': '光德里', 'book_author': ['郭小东'], 'book_press': '花城出版社', 'book_publish_date': '2018-07', 'book_sku': '12394379', 'book_price': '36.00'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t2437/156/1370955975/81543/3b9dfad7/5694904cN99dd62ca.jpg', 'book_name': '白夜', 'book_author': ['贾平凹'], 'book_press': '长江文艺出版社', 'book_publish_date': '2015-12', 'book_sku': '11857325', 'book_price': '26.10'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t3367/340/269302599/598488/1cb407c0/5804631dN14ce25d1.jpg', 'book_name': '贵圈', 'book_author': ['陈野'], 'book_press': '北京联合出版公司', 'book_publish_date': '2016-10', 'book_sku': '12034298', 'book_price': '28.40'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t706/322/117216247/358339/629b2dbb/5488b6cdN1894127f.jpg', 'book_name': '藏婚(2)', 'book_author': ['多吉卓嘎'], 'book_press': '西藏人民', 'book_publish_date': '2010-05', 'book_sku': '1418789313', 'book_price': '23.20'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img11.360buyimg.com/n7/jfs/t1810/90/2022516851/147286/a7dcc7a9/561887e8N44ad5597.jpg', 'book_name': '带灯', 'book_author': ['贾平凹'], 'book_press': '长江文艺出版社', 'book_publish_date': '2015-10', 'book_sku': '11783136', 'book_price': '28.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t27268/331/1003797002/85037/64faad28/5bbf0f9fN7be81b43.jpg', 'book_name': '创业时代 2', 'book_author': ['付遥'], 'book_press': '中信出版社', 'book_publish_date': '2016-04', 'book_sku': '11890232', 'book_price': '29.90'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t2029/47/2696956592/266268/595798fa/56ebe04dNa0a61cf3.jpg', 'book_name': '原罪之承诺', 'book_author': ['周浩晖'], 'book_press': '长江', 'book_publish_date': '2015-07', 'book_sku': '10194836768', 'book_price': '15.75'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t3127/44/427074298/232230/346d896c/57b69a48N844468d0.jpg', 'book_name': '女王的战争', 'book_author': ['凌丽芬'], 'book_press': '九州出版社', 'book_publish_date': '2016-09', 'book_sku': '12018924', 'book_price': '26.10'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t3583/244/1257975766/156370/e4bb3ba4/582167dfN9b783bd9.jpg', 'book_name': '火锅子', 'book_author': ['铁凝'], 'book_press': '文化发展出版社', 'book_publish_date': '2016-12', 'book_sku': '12064324', 'book_price': '17.50'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3314.html', 's_cate': '职场', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t11473/154/2621638749/108336/1ba9d375/5a9cfc90N6b7bcadf.jpg', 'book_name': '三万英尺', 'book_author': ['马曳'], 'book_press': '中信出版集团', 'book_publish_date': '2018-03', 'book_sku': '12312192', 'book_price': '33.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img11.360buyimg.com/n7/jfs/t9319/361/1492707370/369762/53fcb43a/59c211f5N83e66d70.jpg', 'book_name': '完美策划', 'book_author': ['钟二毛'], 'book_press': '作家出版社', 'book_publish_date': '2017-09', 'book_sku': '12192071', 'book_price': '26.30'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3313.html', 's_cate': '乡土', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t20494/311/2310179090/229542/2c18b40d/5b5034ebN2dff95e8.jpg', 'book_name': '蒲柳人家', 'book_author': ['刘绍棠'], 'book_press': '作家出版社', 'book_publish_date': '2018-07', 'book_sku': '12393015', 'book_price': '29.90'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img10.360buyimg.com/n7/14640/726916fd-76b4-4401-945f-bf9f6eaa1fe9.jpg', 'book_name': '非正式男人', 'book_author': ['慕北'], 'book_press': '上海书店出版社', 'book_publish_date': '2005-01', 'book_sku': '10147520', 'book_price': '6.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3312.html', 's_cate': '都市', 'book_img': 'https://img13.360buyimg.com/n7/g15/M04/0A/08/rBEhWFIzJS4IAAAAAAHzBf0v1aIAADIrAH9FMoAAfMd196.jpg', 'book_name': '天秤座事故', 'book_author': ['亦舒'], 'book_press': '东方出版社', 'book_publish_date': '2013-09', 'book_sku': '11318713', 'book_price': '18.80'}
2018-10-13 14:25:56 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3311.html', 's_cate': '社会', 'book_img': 'https://img13.360buyimg.com/n7/jfs/t154/89/2982539977/330115/8f909aae/53df184aN36570ac6.jpg', 'book_name': '大河湾', 'book_author': ['V.S.奈保尔'], 'book_press': '南海出版公司', 'book_publish_date': '2014-08', 'book_sku': '11515178', 'book_price': '27.20'}
